"NHTSA ID","DOCUMENT NAME","MAKE","MODEL","MODEL YEAR","SUMMARY"
"25C004","RCONL-25C004-6999.pdf","DISNEY BABY","MAGICSQUAD","9999","This is the final registered owner notification letter included in the recall kit."
"25C004","RCMN-25C004-8745.pdf","DISNEY BABY","MAGICSQUAD","9999","This is the notification letter being sent to Dorel's retail customers."
"25C004","RCMN-25C004-8745.pdf","SAFETY 1ST","BOOST & GO","9999","This is the notification letter being sent to Dorel's retail customers."
"25C004","RCONL-25C004-6999.pdf","SAFETY 1ST","BOOST & GO","9999","This is the final registered owner notification letter included in the recall kit."
"25C004","RCONL-25C004-6999.pdf","SAFETY 1ST","BOOST & GO ESSENTIAL","9999","This is the final registered owner notification letter included in the recall kit."
"25C004","RCMN-25C004-8745.pdf","SAFETY 1ST","BOOST & GO ESSENTIAL","9999","This is the notification letter being sent to Dorel's retail customers."
"25C004","RCMN-25C004-8745.pdf","SAFETY 1ST","COMFORT RIDE","9999","This is the notification letter being sent to Dorel's retail customers."
"25C004","RCONL-25C004-6999.pdf","SAFETY 1ST","COMFORT RIDE","9999","This is the final registered owner notification letter included in the recall kit."
"25C005","RCRN-25C005-7554.pdf","CHICCO","MYFIT","9999","Customer Service Email Response to MyFit Zip Air Recall Inquiry"
"25C005","RCRIT-25C005-2556.pdf","CHICCO","MYFIT","9999","Recall Remedy Instructions for seat setup and kit installation for specific installation mode."
"25C005","RMISC-25C005-0503.pdf","CHICCO","MYFIT","9999","Updated MyFit Zip Air User Guide with specific instructions on installation mode for Lap Belt only; no top tether; children weighing between 25-40lbs."
"25C005","RCRN-25C005-2841.pdf","CHICCO","MYFIT","9999","Proposed updated recall wording for website, customer service, and social media response."
"25C006","RCMN-25C006-8180.pdf","SAFETY 1ST","GROW & GO SPRINT","9999","This is the Retailer Notification Letter."
"25E003","RCMN-25E003-4462.pdf","MOPAR","POWER TRANSFER UNIT","9999","NSRAC regarding certain Mopar Power Transfer Units"
"25E003","RIONL-25E003-7315.pdf","MOPAR","POWER TRANSFER UNIT","9999","Interim owner letter regarding certain Mopar Power Transfer Units (PTU) with part numbers 68307403AC intended for use with 2014-2018 Jeep Cherokee vehicles and 68333255AA intended for use with 2019 Jeep Cherokee vehicles."
"25E003","RCMN-25E003-5474.pdf","MOPAR","POWER TRANSFER UNIT","9999","Interim NSRAC regarding certain Mopar 
Power Transfer Units (PTU) part numbers 68307403AC intended for use with 2014-
2018 (KL) Jeep Cherokee vehicles and 68333255AA intended for use with 2019 Jeep Cherokee vehicles."
"25E004","RMISC-25E004-9924.pdf","CUMMINS","L9","9999","This is a copy of the quarterly report supplement sent to affected OEMs for the safety campaign on certain Cummins L9 engines. The remote fuel filter hoses installed on the subject engines can become separated from the fuel fitting resulting in fuel leaks and lack of fuel supply to the engine. A fuel hose that becomes disconnected will result in an engine stall, increasing the risk of a crash. A fuel leak in the presence of an ignition source may increase the risk of a fire."
"25E004","RCONL-25E004-5987.pdf","CUMMINS","L9","9999","This is a representative sample of a letter to inform owners of a safety campaign on certain Cummins L9 engines. The remote fuel filter hoses installed on the subject engines can become separated from the fuel fitting resulting in fuel leaks and lack of fuel supply to the engine. A fuel hose that becomes disconnected will result in an engine stall, increasing the risk of a crash. A fuel leak in the presence of an ignition source may increase the risk of a fire."
"25E005","RCMN-25E005-8740.pdf","TIMKEN","WHEEL HUB BEARING","9999","This is an exemplar sent notification letter to distributors, including the covering email and appended, approved owner notification letter."
"25E005","RCONL-25E005-0430.pdf","TIMKEN","WHEEL HUB BEARING","9999","This is the approved owner notification letter, which Timken sent appended to distributor notification letters."
"25E009","RCMN-25E009-6135.pdf","MULTIPLEX","ECM","9999","This notification letter is for Dealers of Certain Thor Motor Coach vehicles that an issue was found within the Firefly Integrations programming that does not lock out the awnings allowing the owner to deploy the awnings if they chose while in transit."
"25E009","RCONL-25E009-4127.pdf","MULTIPLEX","ECM","9999","Letter notifying customer of a recall caused by failing to lock out awning outputs, allowing customers to deploy them while in motion if the extend button is pressed."
"25E009","RCRIT-25E009-5876.pdf","MULTIPLEX","ECM","9999","These are the remedy instructions that will be mailed to owners and dealers."
"25E010","RCMN-25E010-6335.pdf","MOPAR","CENTER STACK DISPLAYS","9999","NSRAC regarding certain Mopar Center Stack Display with Bezel part numbers 68375145AG / 68375145AH / 68474166AG / 68474166AH. Intended for use on 2021-2022 Jeep Grand 
Cherokee and Grand Cherokee L vehicles equipped with a 10.1"" Disassociated Center 
Stack Display (DCSD)"
"25E010","RCONL-25E010-3877.pdf","MOPAR","CENTER STACK DISPLAYS","9999","Final Owner Letter regarding certain 10.1"" Disassociated Center Stack Displays"
"25E010","RCMN-25E010-8811.pdf","MOPAR","CENTER STACK DISPLAYS","9999","Final dealer letter regarding certain MOPAR Center Stack Display with Bezel Part Numbers 68375145AG / 68375145AH / 68474166AG / 68474166AH Intended for use on 2021-2022 Jeep Grand Cherokee and Grand Cherokee L vehicles."
"25E013","RCONL-25E013-2261.pdf","KEY SAFETY SYSTEMS","CURTAIN AIRBAG INFLATOR","9999","Volkswagen owner notification letter."
"25E013","RCRIT-25E013-3139.pdf","KEY SAFETY SYSTEMS","CURTAIN AIRBAG INFLATOR","9999","Dealer work instructions"
"25E017","RCMN-25E017-5569.pdf","MEYLE","CONTROL ARM","9999","We have contacted via multi channel our customers and dealers and asked to return product to us on February 24, 2025. We are offering our clients a spare part and cover the cost for car transportation to workshop and removal works. MEYLE will cover all costs for the inspection, replacement of the control arms and subframe, towing and rental car, as well as the shipping costs for replaced and uninstalled parts. The costs are reimbursed via the relevant dealers."
"25E018","RCMN-25E018-7014.pdf","CUMMINS","ACCELERA POWERDRIVE 7000","9999","This is a copy of the field action safety campaign to remedy certain high voltage battery packs used in certain Accelera by Cummins PowerDrive 7000 electric drivetrains. According to the supplier, pieces of the fastener hardware internal to the High Voltage Battery may become detached because of inadequate manufacturing process control at the supplier. Broken pieces may become debris and potentially cause an internal short circuit. An internal short circuit may lead to a partial battery fire and activate the Thermal Runaway Detection (TRD) warning, which would open the High Voltage Battery contactors. This may cause a sudden loss of motive power without warning, increasing the risk of a crash."
"25E018","RCONL-25E018-9348.pdf","CUMMINS","ACCELERA POWERDRIVE 7000","9999","This is a representative sample of a letter to inform owners of a safety campaign on certain high voltage battery packs used in certain Accelera by Cummins PowerDrive 7000 electric drivetrains. According to the supplier, pieces of the fastener hardware internal to the High Voltage Battery may become detached because of inadequate manufacturing process control at the supplier. Broken pieces may become debris and potentially cause an internal short circuit. An internal short circuit may lead to a partial battery fire and activate the Thermal Runaway Detection (TRD) warning, which would open the High Voltage Battery contactors. This may cause a sudden loss of motive power without warning, increasing the risk of a crash."
"25E018","RCONL-25E018-6912.pdf","CUMMINS","ACCELERA POWERDRIVE 7000","9999","This is a representative sample of a letter to inform owners of a safety campaign on certain high voltage battery packs used in certain Accelera by Cummins PowerDrive 7000 electric drivetrains. According to the supplier, pieces of the fastener hardware internal to the High Voltage Battery may become detached because of inadequate manufacturing process control at the supplier. Broken pieces may become debris and potentially cause an internal short circuit. An internal short circuit may lead to a partial battery fire and activate the Thermal Runaway Detection (TRD) warning, which would open the High Voltage Battery contactors. This may cause a sudden loss of motive power without warning, increasing the risk of a crash."
"25E018","RCMN-25E018-5356.pdf","CUMMINS","ACCELERA POWERDRIVE 7000","9999","This is a representative sample of an email to inform owners of a safety campaign on certain high voltage battery packs used in certain Accelera by Cummins PowerDrive 7000 electric drivetrains. According to the supplier, pieces of the fastener hardware internal to the High Voltage Battery may become detached because of inadequate manufacturing process control at the supplier. Broken pieces may become debris and potentially cause an internal short circuit. An internal short circuit may lead to a partial battery fire and activate the Thermal Runaway Detection (TRD) warning, which would open the High Voltage Battery contactors. This may cause a sudden loss of motive power without warning, increasing the risk of a crash."
"25E020","RCMN-25E020-0536.pdf","LEMFORDER","TRACK CONTROL ARM","9999","Formal notification to dealers and distributors"
"25E020","RCONL-25E020-7422.pdf","LEMFORDER","TRACK CONTROL ARM","9999","Owner notification letter re NHTSA recall 25E-020"
"25E020","RCONL-25E020-7422.pdf","TRW","TRACK CONTROL ARM","9999","Owner notification letter re NHTSA recall 25E-020"
"25E020","RCMN-25E020-0536.pdf","TRW","TRACK CONTROL ARM","9999","Formal notification to dealers and distributors"
"25E023","RMISC-25E023-3314.pdf","HARLEY-DAVIDSON","FAIRING LOWERS","9999","Harley-Davidson has learned that installation of certain accessory kits on certain Model Year 2023  2025 Touring and CVO Touring motorcycles may take these vehicles out of compliance with Federal Motor Vehicle Safety Standard No. 108, Lamps, reflective devices, and associated equipment. Specifically, the lower fairings may partially obstruct visibility of the front, side reflector if paired with inverted forks on the same vehicle."
"25E023","RCMN-25E023-5797.pdf","HARLEY-DAVIDSON","FAIRING LOWERS","9999","Harley-Davidson has learned that installation of certain accessory kits on certain Model Year 2023  2025 Touring and CVO Touring motorcycles may take these vehicles out of compliance with Federal Motor Vehicle Safety Standard/Canadian Motor Vehicle Safety Standard No. 108, Lamps, reflective devices, and associated equipment and similar worldwide regulations. Specifically, the lower fairings may partially obstruct visibility of the front, side reflector if paired with inverted forks on the same vehicle."
"25E023","RCRIT-25E023-1075.pdf","HARLEY-DAVIDSON","FAIRING LOWERS","9999","Harley-Davidson has learned that installation of certain accessory kits on certain Model Year 2023  2025 Touring and CVO Touring motorcycles may take these vehicles out of compliance with Federal Motor Vehicle Safety Standard/Canadian Motor Vehicle Safety Standard No. 108, Lamps, reflective devices, and associated equipment and similar worldwide regulations. Specifically, the lower fairings may partially obstruct visibility of the front, side reflector if paired with inverted forks on the same vehicle."
"25E023","RCONL-25E023-9941.pdf","HARLEY-DAVIDSON","FAIRING LOWERS","9999","The installation of certain accessory kits (Fairing Lowers and/or Inverted Forks listed in Tables 1 and 2 below) on certain Model Year 2023  2025 Touring and CVO Touring motorcycles may take these vehicles out of compliance with Federal Motor Vehicle Safety Standard No. 108, Lamps, reflective devices, and associated equipment and similar worldwide regulations. Specifically, the lower fairings may partially obstruct visibility of the front, side reflector if paired with inverted forks on the same vehicle."
